issue_key,software_qualities,impact_severities,severity,type,status,resolution,rule_key,rule_name,file_path,line,end_line,message,effort,clean_code_attribute,clean_code_category,quick_fix_available,tags,author,assignee,creation_date,update_date,rule_description,remediation_guidance,sonar_url
AZ_pMgJfnhynfjhWCyBS,"[""MAINTAINABILITY""]","[""LOW""]",MINOR,CODE_SMELL,OPEN,,typescript:S7780,String literals with escaped backslashes should use `String.raw` template literals,app/api/mux/_playbackIssuance.ts,71,71,`String.raw` should be used to avoid escaping `\`.,5min,CLEAR,INTENTIONAL,,"[""editable-source"",""es2015"",""readability""]",admin@brendanjohnroch.com,,2026-08-10T01:02:14+0000,2026-08-10T01:02:26+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ_pMgJfnhynfjhWCyBS&open=AZ_pMgJfnhynfjhWCyBS
AZ_pMgJfnhynfjhWCyBT,"[""MAINTAINABILITY""]","[""LOW""]",MINOR,CODE_SMELL,OPEN,,typescript:S7780,String literals with escaped backslashes should use `String.raw` template literals,app/api/mux/_playbackIssuance.ts,77,77,`String.raw` should be used to avoid escaping `\`.,5min,CLEAR,INTENTIONAL,,"[""editable-source"",""es2015"",""readability""]",admin@brendanjohnroch.com,,2026-08-10T01:02:14+0000,2026-08-10T01:02:26+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ_pMgJfnhynfjhWCyBT&open=AZ_pMgJfnhynfjhWCyBT
AZ_odt1F_sqRi3DXRmhm,"[""MAINTAINABILITY""]","[""MEDIUM""]",MAJOR,CODE_SMELL,OPEN,,typescript:S3358,Ternary operators should not be nested,app/home/StableSessionShell.tsx,59,63,Extract this nested ternary operation into an independent statement.,5min,CLEAR,INTENTIONAL,,"[""confusing"",""editable-source""]",admin@brendanjohnroch.com,,2026-08-09T21:37:48+0000,2026-08-09T21:38:01+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ_odt1F_sqRi3DXRmhm&open=AZ_odt1F_sqRi3DXRmhm
AZ_odt1F_sqRi3DXRmhn,"[""MAINTAINABILITY""]","[""MEDIUM""]",MAJOR,CODE_SMELL,OPEN,,typescript:S3358,Ternary operators should not be nested,app/home/StableSessionShell.tsx,60,62,Extract this nested ternary operation into an independent statement.,5min,CLEAR,INTENTIONAL,,"[""confusing"",""editable-source""]",admin@brendanjohnroch.com,,2026-08-09T21:37:48+0000,2026-08-09T21:38:01+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ_odt1F_sqRi3DXRmhn&open=AZ_odt1F_sqRi3DXRmhn
AZ_odtwR_sqRi3DXRmhl,"[""MAINTAINABILITY"",""RELIABILITY""]","[""LOW"",""MEDIUM""]",MAJOR,CODE_SMELL,OPEN,,typescript:S6847,Non-interactive elements shouldn't have event handlers,app/home/modules/PortalArtistPosts.tsx,210,235,Non-interactive elements should not be assigned mouse or keyboard event listeners.,5min,CONVENTIONAL,CONSISTENT,,"[""accessibility"",""react""]",admin@brendanjohnroch.com,,2026-08-09T21:37:48+0000,2026-08-09T21:38:01+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ_odtwR_sqRi3DXRmhl&open=AZ_odtwR_sqRi3DXRmhl
AZ_UqQ2GGA9NVutV3atc,"[""MAINTAINABILITY""]","[""LOW""]",MINOR,CODE_SMELL,OPEN,,typescript:S6653,Use Object.hasOwn static method instead of hasOwnProperty,app/internal/render/visualizer/VisualizerLivePreview.tsx,123,123,Use 'Object.hasOwn()' instead of 'Object.prototype.hasOwnProperty.call()'.,5min,CLEAR,INTENTIONAL,,"[""es2022""]",admin@brendanjohnroch.com,,2026-08-06T01:20:09+0000,2026-08-06T01:20:22+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ_UqQ2GGA9NVutV3atc&open=AZ_UqQ2GGA9NVutV3atc
AZ-dzcI6ZiQzo-vEikdd,"[""MAINTAINABILITY""]","[""LOW""]",MINOR,CODE_SMELL,OPEN,,typescript:S6754,"The return value of ""useState"" should be destructured and named symmetrically",app/home/SubscribeButton.tsx,330,330,useState call is not destructured into value + setter pair,5min,IDENTIFIABLE,CONSISTENT,,"[""editable-source"",""react""]",admin@brendanjohnroch.com,,2026-07-26T09:41:19+0000,2026-07-26T09:41:19+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ-dzcI6ZiQzo-vEikdd&open=AZ-dzcI6ZiQzo-vEikdd
AZ-dkHrvsyU_O2b4WvQW,"[""MAINTAINABILITY"",""RELIABILITY""]","[""LOW"",""MEDIUM""]",MAJOR,CODE_SMELL,OPEN,,typescript:S6847,Non-interactive elements shouldn't have event handlers,app/home/ActivationGate.tsx,660,682,Non-interactive elements should not be assigned mouse or keyboard event listeners.,5min,CONVENTIONAL,CONSISTENT,,"[""accessibility"",""react""]",admin@brendanjohnroch.com,,2026-07-26T08:34:31+0000,2026-07-26T08:34:31+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ-dkHrvsyU_O2b4WvQW&open=AZ-dkHrvsyU_O2b4WvQW
AZ-dkHrvsyU_O2b4WvQX,"[""MAINTAINABILITY""]","[""LOW""]",MINOR,CODE_SMELL,OPEN,,typescript:S6749,Redundant JSX fragments should be removed,app/home/ActivationGate.tsx,1008,1076,Passing a fragment to an HTML element is useless.,5min,DISTINCT,ADAPTABLE,,"[""editable-source"",""react""]",admin@brendanjohnroch.com,,2026-07-26T08:34:31+0000,2026-07-26T08:34:31+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ-dkHrvsyU_O2b4WvQX&open=AZ-dkHrvsyU_O2b4WvQX
AZ-dSrLABaRu4znBxjrR,"[""MAINTAINABILITY""]","[""LOW""]",MINOR,CODE_SMELL,OPEN,,typescript:S7741,"""typeof"" should not be used to check for ""undefined""",app/api/exegesis/comment/route.ts,204,204,Compare with `undefined` directly instead of using `typeof`.,2min,CONVENTIONAL,CONSISTENT,,"[""editable-source"",""readability"",""style""]",admin@brendanjohnroch.com,,2026-07-26T07:17:51+0000,2026-07-26T07:17:51+0000,,,https://sonarcloud.io/project/issues?id=Angelfish-Records_BJR&branch=main&issues=AZ-dSrLABaRu4znBxjrR&open=AZ-dSrLABaRu4znBxjrR
